CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,,,,,,,,,,,,,,,,992.92,,,"277,719",,
,WO-PS-17-021073,,,,,9/20/2017 12:33 PM,,,4/19/2018 12:00 AM,,,,,43124,209 ,0,,,0,,
,WO-PS-17-026880,,,,,12/27/2017 1:54 PM,,,1/9/2018 12:00 AM,,,,,43124,502 ,1,,,"2,000",,
,WO-PS-17-026991,,,,,12/29/2017 12:57 PM,,,1/9/2018 12:00 AM,,,,,43124,610 ,0.25,,,500,,
,WO-PS-17-026999,,,,,12/29/2017 4:01 PM,,,1/9/2018 12:00 AM,,,,,43124,604 ,0.5,,,"1,000",,
,WO-PS-18-000196,,,,,1/4/2018 1:29 PM,,,1/9/2018 12:00 AM,,,,,43124,604 ,0.25,,,500,,
,WO-PS-18-000270,,,,,1/5/2018 4:28 PM,,,1/5/2018 12:00 AM,,,,,43174,402 ,0,,,0,,
,WO-PS-18-000405,,,,,1/9/2018 12:42 PM,,,1/22/2018 12:00 AM,,,,,43124,607 ,0.5,,,"1,000",,
,WO-PS-18-000464,,,,,1/10/2018 8:35 AM,,,1/19/2018 12:00 AM,,,,,43124,402 ,0.25,,,500,,
,WO-PS-18-000494,,,,,1/10/2018 1:33 PM,,,1/22/2018 12:00 AM,,,,,43124,307 ,0.5,,,"1,000",,
,WO-PS-18-000507,,,,,1/10/2018 2:18 PM,,,1/19/2018 12:00 AM,,,,,43124,510 ,0.25,,,500,,
,WO-PS-18-000509,,,,,1/10/2018 2:49 PM,,,1/19/2018 12:00 AM,,,,,43124,102 ,0.25,,,500,,
,WO-PS-18-000638,,,,,1/12/2018 4:28 PM,,,1/19/2018 12:00 AM,,,,,43124,304 ,0.25,,,500,,
,WO-PS-18-000712,,,,,1/16/2018 11:51 AM,,,1/19/2018 12:00 AM,,,,,43124,402 ,0.25,,,500,,
,WO-PS-18-000810,,,,,1/17/2018 3:16 PM,,,1/18/2018 12:00 AM,,,,,43176,610 ,0,,,0,,
,WO-PS-18-000888,,,,,1/18/2018 2:16 PM,,,1/19/2018 12:00 AM,,,,,43124,210 ,0.25,,,500,,
,WO-PS-18-000954,,,,,1/19/2018 3:42 PM,,,1/22/2018 12:00 AM,,,,,43175,509 ,0,,,0,,
,WO-PS-18-000986,,,,,1/22/2018 8:31 AM,,,1/23/2018 12:00 AM,,,,,43124,307 ,0.25,,,500,,
,WO-PS-18-000993,,,,,1/22/2018 9:44 AM,,,1/23/2018 12:00 AM,,,,,43172,209 ,8,,,0,,
,WO-PS-18-000995,,,,,1/22/2018 9:57 AM,,,1/23/2018 12:00 AM,,,,,43174,405 ,0,,,0,,
,WO-PS-18-000997,,,,,1/22/2018 10:01 AM,,,1/23/2018 12:00 AM,,,,,43174,405 ,0,,,0,,
,WO-PS-18-001092,,,,,1/23/2018 8:46 AM,,,1/25/2018 12:00 AM,,,,,43124,310 ,0.25,,,500,,
,WO-PS-18-001105,,,,,1/23/2018 9:58 AM,,,1/24/2018 12:00 AM,,,,,43175,506 ,15,,,"1,986",,
,WO-PS-18-001210,,,,,1/24/2018 2:43 PM,,,1/25/2018 12:00 AM,,,,,43124,101 ,0.25,,,500,,
,WO-PS-18-001211,,,,,1/24/2018 2:44 PM,,,1/25/2018 12:00 AM,,,,,43172,209 ,1,,,0,,
,WO-PS-18-001226,,,,,1/25/2018 7:31 AM,,,1/23/2018 12:00 AM,,,,,43124,303 ,0.25,,,500,,
,WO-PS-18-001227,,,,,1/25/2018 7:36 AM,,,1/23/2018 12:00 AM,,,,,43124,210 ,0.5,,,"1,000",,
,WO-PS-18-001228,,,,,1/25/2018 7:40 AM,,,1/23/2018 12:00 AM,,,,,43124,509 ,0.5,,,"1,000",,
,WO-PS-18-001235,,,,,1/25/2018 8:24 AM,,,1/24/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
,WO-PS-18-001251,,,,,1/25/2018 10:04 AM,,,1/22/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
,WO-PS-18-001252,,,,,1/25/2018 10:12 AM,,,1/23/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
